makes explicit
many sentence
first establishes
sparse data
commercial transcripts
collocation acquisition
inherent structure
probable translation
fragment analysis
descripteurs du
dutch examples
rule sl
section 0
gray area
production mechanism
stored episode
explicit relation
existing sentences
efficient techniques
summary generator
understanding phase
initial q
detecting names
empirical domain
2 pc
iteratively learns
perhaps non
accuracy level
circle near
news library
biographical records
real mt
generate animations
contextual module
target cost
unexpressed object
innermost clause
ten dollars
system except
poetic lexicon
relevant papers
coherent sentence
possible misunderstanding
final occurrence
automatic categorization
feature fi
verbmobil test
process time
linguistic conditions
stemmed content
meets sue
recognizer uses
actual human
correct pairs
10 classes
12 tags
state reports
error localization
one lcs
grammar assumed
identify important
toneless syllables
combining sentences
tutor turns
lexicon available
staff months
one application
du fran
assumption sets
let ql
negative evidence
nlp axioms
phenomenon requires
surface coercions
book john
central word
maximal size
active task
others might
aux phrases
expressions refer
assertional forms
properties taken
fewer iterations
arabic named
support large
john misses
second activity
extended definition
alshawi resolving
heuristic method
intelligent behavior
ar en
vp 2
motivating factor
canonical elementary
bound occurrences
type prc
unused words
comprehensive account
user interests
learning results
discrimination part
trees ti
cylindrical bronchial
corpus tagging
final lengthening
semantics component
green rug
speech mapping
n queries
three doctors
language event
individual may
temporary nodes
narrating actions
digital signal
facts used
establish connections
31 n
considerable detail
order operation
analysis across
systran dictionary
particular classification
produce corresponding
relation shows
template slots
svm ranking
label assignments
tbe set
translation equivalencies
pedersen 2000
original parsing
different importance
unix tm
matched pairs
macklovitch et
plagiarism detection
five random
rhetorical representation
individual document
snor format
system tailored
number 1
steps 3
remaining members
domination links
reactive planner
filtering heuristics
3 environment
clear relationship
l l
ap corpus
null rect
class covers
pieces contain
machine word
medline abstracts
verb endings
active part
tail end
sumitomo credit
desired value
group similar
multimodal understanding
syntactical constraints
maximal consistent
complex answer
predicate pp
free surface
arms program
le niveau
row shows
literature since
system defines
codes represent
adjective pair
various constructions
linear search
standard ccg
good description
damping factor
negative rds
specified list
list increases
recognition vocabulary
4 summarises
text nodes
plural formation
papillon multilingual
related field
specific inference
phrase au
describes methods
xg rule
pivotal role
error identified
situation may
consistent format
capturing features
strong constraint
multimodal data
incomplete paths
user type
summarize information
a21 a4
complicated methods
four measures
token number
yasuda et
physical location
generate exactly
two evaluators
ya et
prefixation stem
parsing style
denotes exactly
correct place
syntactic query
model fits
correction proposals
maintain dialogue
meaning selected
treebank transformations
three stories
significance measure
several refinements
reasonable fashion
general notions
kind proposed
interactive access
universal value
hierarchical attribute
work could
flexible dialogue
modal frame
relation sequence
portable implementation
high attachment
distribution per
ontological mediation
thousand pairs
commitment planning
condition required
n1 p
past experience
first homograph
direct computational
underlying state
event durations
existing databases
topical contextual
whole coordination
syntactic resources
first verb
developed modules
improved performance
strict tree
efficient finite
word freq
significant events
scored candidates
dashed arrow
two key
ungrammatical analysis
static component
among sentence
ace keys
one precondition
referential meaning
standard forward
generate test
learning architecture
catalan grammars
mary harper
problem description
describe approaches
anaphors occurring
sentences contain
zhang et
specific symbols
statistical data
unlabeled f
various modifications
nonliteral set
recency vector
restricted set
role variable
abbreviation list
wise agreement
translation rule
perceptual input
ill principle
relations possess
objective function
hesitation pauses
data found
interactive explanation
meaning procedure
boolean descriptions
item elements
top group
monotonic multiple
miscellaneous information
let users
prendre la
system participating
subj feature
model worked
novel names
level textual
semantic sorts
de lot
engines experiment
specific instances
system crashes
current analysis
adequate account
word collection
algorithm still
particular entity
captures many
system diseases
one construct
coding module
mittal et
rationale clause
problem immediately
global vectors
simple design
greek language
time dictionary
grounding status
lhe word
intentions conveyed
attachment tendencies
ambiguities pending
1 method
role throughout
noun attachment
accuracy rises
names shown
cleft sentence
primitive tree
states set
existential np
direct applications
upper domains
lsa space
define translation
normalized location
continued changes
context contained
certain function
helpful advice
distribution pt
feature space
additional property
universal principle
including term
electron transport
domains principle
huge number
directional parsing
running system
automatically classifies
strong chain
plans stored
five entity
phrases common
simple transduction
pearson product
contract daag29
representing information
resolution relies
90 documents
verb prep
selections made
nominal objects
examples described
another man
coding experts
number generator
thank david
th possible
word detection
classes give
partial synthesis
train separate
whether noise
40 articles
also examples
open issue
system allowed
entailment relations
sections discuss
relation holds
words filter
smaller search
questions 3
applied research
null rules
embryo sac
assume perfect
significant impact
applications ranging
term built
work considers
general abstract
iu tile
language rich
question generation
distinct entries
erroneous parses
task harder
models simply
longer durations
separating knowledge
annotated grammar
syntactic reasons
execution results
coordinate analysis
level sequences
lists words
tags defined
dependency may
six participants
deciding term
disambiguation preprocessor
jones took
hg g
annotation level
capture patterns
matching rules
dialogues resemble
problematic example
acceptable inputs
words along
average delay
parse data
selective extension
ending word
multimedia communications
two conjunctions
pair within
taggers perform
unrestricted length
null query
complete degradation
corpus two
soviet union
characteristic domain
mouse input
examples alone
test languages
noun constructs
found performance
parses highest
chosen features
first screen
score corresponds
existing literature
take figure
objects belong
10th conference
without product
langues et
corresponding tl
segmentation score
graphemic form
copying method
original impetus
refined grain
parameter settings
best overall
np every
original argument
interlingua representation
common concepts
analysis comes
decisions according
special slot
facilitate language
using order
5 years
treebank tagging
missing parts
structure needs
derivation moves
domination link
bayes learner
error weights
segmenting words
null cbs
improving word
marked meaning
lsa approaches
dss unification
redundant readings
potential actor
christiansen et
presentation generation
called training
way would
discourse strategies
head pairs
number correct
guttural letters
interpreter checks
neither p
efficient ways
feature approaches
lexieal units
achievable performance
context function
given hcs
suggestions concerning
performs poorly
null nation
programming mechanism
documentation system
uses speech
particular consideration
initial hand
role notions
describe knowledge
relative times
popular lore
assignment statements
kl divergence
parser makes
matching word
john sent
phonics programs
base cut
5 proposes
four operators
corpus even
prize winner
especially information
semantic suppression
include descriptions
grammatical factors
rules reduce
correct placement
including assumptions
sentences per
n symbols
supervised mode
purpose features
often introduces
spontaneous goal
generalized allophones
question becomes
category specific
neither contain
one non
making reference
word assignment
six subsets
words adapt
includes tokens
models showed
task shows
extraction include
added terms
utterance like
bracketings produced
semantic pointer
first slot
meanings corresponding
example function
scale example
possible misconceptions
n instances
acoustic region
syntactic deviations
pk training
implicit annotation
node condition
unification analysis
category given
janet hitzeman
topic changes
sound models
le rapport
additional module
six interfaces
markup tags
estimate recall
cannot directly
hierarchical prosodic
using unification
jean n
different preferences
longest right
computer sciences
technical terminology
current vision
room costs
investigate questions
controller may
parsed bnc
speech pair
anaphoric argument
gr assignment
uses patterns
connection depends
feature relations
recognition hardware
meaning type
semantic richness
pitch peak
corpus presented
incorrect entity
one referential
floating constraints
verbal references
movement across
stored pattern
known formalisms
like domains
valid derivations
whole dictionary
macintosh common
trinity parser
intermediate information
entire sequences
corresponding verbal
clause syntax
3 algorithm
avoid selecting
un principe
hypernymy relations
sound files
pluperfect clauses
possible translation
nese word
space even
consuming task
project ecran
purpose prosody
application developers
mutual relation
scientifica e
reviews r
head requires
english entries
semantic representations
previous target
overall problem
trees takes
goal directed
utterances include
functional information
variable h
verification rules
e q2
underlying set
test predictions
learned classes
class restriction
expressing tile
atomic symbols
higher preference
illocutionary points
thus demonstrates
either non
turney value
mutual position
uniform procedure
lts generally
groups words
repetitive material
consideration whether
sentences a0
present illness
linguistic phoneme
memm models
recherche scientifique
items represented
improve term
right parenthesis
techniques rather
tl string
straightforward methods
johnson 2002
retrieval components
whose language
special object
bobrow et
translation preference
naive coders
remaining segments
tile scope
directional machine
word view
center ci
distinctions may
one version
whenever p
every section
makes evident
0 p
interesting classes
bloque l
method detected
works fine
stratified model
last method
facilitate integration
significant proportion
sense usage
2 utterances
reporting results
state formalism
smoke pouring
2003 evaluation
window surrounding
achieve goal
taj mahal
mappin g
act replace
different conceptualizations
case constituents
task input
lattice composed
reliable probability
case patterns
null amples
optional parts
cv experiments
multilingual corpora
latin square
analysis window
particular sets
level notation
incrementally construct
compute ms
system pairings
eskenazi et
string data
choice questions
alternations take
classification output
many clusters
chinese text
ideas introduced
gesture combination
terms either
model could
current selection
yield results
e le
difficult question
lot example
judges used
decreasing precision
segments identified
following score
classifier obtained
ate 4
jacques chirac
mean distance
systems shown
relationship type
weakly supervised
enough room
case implies
backward composition
usual notation
first pcfg
ic class
develop questions
incorrect paraphrases
performance evaluation
conceptual input
single formula
maps semantic
annotation transform
social ranking
induced features
english penn
typical values
measures achieved
traditional interpretation
communication styles
conditional parsing
abstracts manually
coherent clusters
always yields
rules provides
different question
exact formulation
interesting use
flattened tree
retrieved texts
questions submitted
vectors p
press articles
ushioda et
linking information
recognizes sentence
mt development
human transcriptions
daelemans 1998
sense classes
sentences precision
get larger
interface features
construct rules
property concept
tile values
scoring alignment
previous sense
generalised predicative
either version
search state
element task
workspace contains
syntactic variable
merge information
including post
analysis confirms
reverse direction
third iteration
email thread
fast convergence
specific content
une representation
set includes
entropy term
geometric terms
minority group
reordering example
recursive forms
indicate better
al 1987
specific similarity
unification operator
source languages
tagged character
sentence output
text constitutes
contrast principle
definition 10
vectors contain
language profiles
reliable models
using phone
haar verliefd
towards discovering
cause one
standard parsing
desired string
material including
compute paraphrasability
available evidence
relations qui
strategy changes
multikey quicksort
information mi
pas toujours
vowel restoration
perl archive
path leading
translators make
vowel insertion
slight complication
database context
systems included
juman output
tool used
ccg analysis
coordinate represents
6 millions
derived sentence
traditional transfer
fewer parameters
final summaries
onto q
inherited foot
five errors
word inflections
capacity expansion
bit odd
main components
communication environments
e cases
model decomposes
compositional data
symbol called
score categories
unrealized actions
joshi 1988
next function
competence theories
iob tags
similar resources
true summaries
transformation whose
certain quantifier
lexicalist theory
base organization
alternative candidates
baseline lexicon
core mt
versus word
construct word
engine system
sound source
text associated
qui peut
obvious solution
sense represents
model considers
pattern node
suri 1993
unidentified words
also embodies
lemma 6
answering strategies
scoring alignments
evidence strength
executable prolog
exhaustive parsing
new interpretation
chemical reactions
expectation e
elegant solutions
entire analysis
lascarides 2003
explicit rejection
ex ample
base phrase
verb corresponds
considerably outperforms
description models
top list
implementation may
condition concerning
hownet knowledge
distance along
paper relies
marks whether
names generated
number shows
stratified sampling
automatic location
semantic drift
typical utterance
human linguists
construction inventory
syntactic error
request explanations
promising task
robert moore
tasks listed
name corpus
rousse art
information means
instantiate fs
incremental fashion
stem list
np using
divide sentences
topic label
particular kinds
definition means
annotation agreement
dice threshold
semantic chunking
l 23
later project
gi tad
hmm classifier
ideas proposed
whether prosodic
data fields
method identifies
tile utterance
1 involves
chart manager
digital collections
discriminating rules
2 collocations
pc subject
le voyage
correctly classifies
every r
closest example
problem arising
best transcription
create documents
machine code
path equalities
state approximation
inferred task
enables real
annotators mark
use longer
tag parsing
time frames
performance one
like memory
architecture could
individual performance
ls structure
trips architecture
restriction operator
names may
computation speed
discriminant cost
lexieal features
either condition
stereotypical knowledge
level vision
perform cross
facts extracted
involves selecting
shared mixture
five kinds
sales director
stop symbol
6 corresponds
provided answers
work provided
varied types
corresponding derivations
phonological insertion
love mary
rule filtering
results automatically
temporal argument
multinomial probability
remote references
large decrease
descriptive economy
rule licenses
limited applicability
situation becomes
words output
absolute upper
major strength
database text
reduction task
order sequences
utterances play
baseline precisions
snn outputs
extraneous word
two combination
studies involving
replace operations
complex components
curcumin may
korean characters
finding non
concept analysis
meet three
similar reasons
interactive argumentation
effect found
group identification
causality identifiers
human judgments
labels x
serious flaw
british aerospace
companies like
rules introduce
assigned category
rules stipulate
classification case
x dominates
improved alignment
art ie
semantic pattern
assignment process
slot rules
theme roles
chamber contains
john became
event referred
john forced
like give
discriminating word
make resolution
single command
concept patient
n content
mother category
probability computation
fourth step
including null
gestural input
need special
attitude model
contextual expectations
depend solely
begin cigarette
using microsoft
recursion requirement
extraction used
rudnicky et
3 simple
python code
consecutive non
response accuracy
hoc semantic
permettre la
utterance object
relies mainly
based graph
candidates output
yields statistically
automated mt
direction gives
constructive version
competitive accuracy
example 2a
airline name
occurrences may
mt parser
create dictionaries
syntactic attachments
path group
substantial computational
structural address
work cannot
classifying entities
hypotheses left
word language
matter experts
computational linguist
interpolation weight
accurate stochastic
existing standard
seem counter
31 instance
baseline case
overall structure
class np
understanding tasks
mary reset
graph notation
attitudes expressed
complete listing
reliable source
sentence 24
poor ones
sample verbs
improvements would
using speech
g program
small volumes
vat must
term would
identifying opinion
certain manner
allows tbr
partial satisfiability
corresponding error
possible pairing
next semester
generated tags
unit sentences
integrated speech
line databases
greater amounts
lower tier
predicates belonging
enumeration algorithm
useful aid
au moyen
slot word
reordered model
define sentence
v a1
linguistic generalization
improved alignments
novel wheels
source fragment
participants tend
utterances used
correct roots
also claim
person prefixes
tutor asks
initial delimitation
target model
like discourse
function maps
wordnet based
theta need
solution pipeline
attribute represents
conveying discourse
translation projects
appropriate chain
filter also
neighbor words
user preference
high accuracy
text phenomena
6 languages
nl processor
cannot maintain
pattern ranking
earlier action
atlas planning
dog saw
vocabulary test
axis steps
minu pr
ldoce grammar
x according
batch process
essentially means
german annotation
action shown
rbe must
gale et
direct systems
user aware
des grammaires
constraints coming
ga restr
answer rather
promissory note
network rather
protein function
element actually
knowledge external
communicative strategies
noun collocates
short business
following recurrence
serious sparse
using patterns
optimal processing
child abuse
voice quality
best explain
line use
kernel structure
towards generation
structure following
modified kneser
process given
base lexicon
involves pair
null pendency
experiments regarding
high activity
branching point
algorithm initially
level difficulties
coverage within
distributed computing
style jewel
aspects theory
found alignment
lexicon involves
0 precision
new relation
probabilistic dependencies
sentences require
boundary may
dictionary set
grammatical development
traversal order
nna defined
initial segment
word tree
formed noun
translation 3
sort could
four sample
smoothing problem
fa zhan
several analysis
kenneth pike
corresponding words
affix stripping
whose extensions
disjunctive value
particular details
general solutions
tile possibility
brief paper
new position
uses similar
shared amongst
ti 2
higher rank
authors state
cooccurrence relations
avoid dead
milky way
removed coherence
tagset size
distortion probability
fs unification
level modeling
markers along
predictive questioning
annotated excerpt
neutral register
domain involved
human face
published methods
closure algorithm
single database
objects defined
slots unfilled
lexical constraint
fu equation
systems designed
paper addressed
produce possible
content types
instrument pattern
constituent searching
perform reference
conditional loglinear
transition given
contextual languages
gram n
recognition works
box 218
errors including
jeffery triggs
r future
various uses
data reduces
present terms
string substitution
sense must
rule specification
th feature
respectively represent
used approaches
use soft
target material
gram evaluation
verb categories
move towards
information structure
reasonable job
dietterich 1997
marker although
systems generated
c set
montemagni et
two lattices
measuring method
words case
understood metaphorically
squared distances
function might
optimal state
pieraccini et
pp ambiguity
av v
results tbr
combination features
corresponding items
prepositional sfs
related tasks
cannot represent
algorithm parameters
called leaves
concept classes
link labeled
web faqs
predicted chunk
occurring corpus
case descriptions
active verb
nielsen co
dynamic sense
primitive facts
pos ta
local positional
two test
expression type
tokenization set
phrase occurred
state produced
retrieval requests
extract noun
special effects
supertag disambiguation
algorithm rather
puzzle corpus
allen model
based criteria
simple objects
modifying relation
autoepistemic logic
presentation operator
systems may
question classes
current tagging
representational structures
individual distortion
integer corresponding
distortion models
new equipment
report recall
significant implications
frequent phenomenon
features contained
colour information
like know
nevertheless use
within brackets
template fillers
character appears
polarity based
terminology identification
certain predicate
example introduced
many individuals
used relations
la combinaison
automated construction
words rarely
complicated example
right sides
respective corpora
score lower
size f
different dependencies
large groups
performance improved
quality word
modest recall
meaning identity
cle algorithm
annotation developed
finding suggests
classes found
unification must
propositional letters
1 explains
vertex x
approach yields
possible sentence
final matrix
independent sentence
section proposes
specific marker
r representing
tfs language
reliable pattern
different chunk
two nonterminals
scale bilingual
child drinks
used technique
concrete value
supervised ie
every correct
concept represents
propositional contents
lexical clues
ann marcinkiewicz
text fit
collecting dialogue
base case
semantic literal
continuous system
juha heikkil
dataset since
scoring pair
disambiguation tool
sentential co
vacancy existed
e describes
text windows
distribution among
express generalisations
meaning elements
ideational structure
crfs define
comprises three
automatic constituent
correlation method
identify cognates
language testing
published text
endings like
zhong wen
represents information
tree whose
classical algorithms
whose transitions
model provided
muc events
user dialogues
recorded meetings
entailment task
entity consisting
points higher
type frames
scalar change
related cases
first prototype
considers every
conference workshop
multilingual data
left panel
definitions also
g representing
release version
corpus studied
speech x
replace c
sizable portion
discourse processin
lifer system
le raisonnement
perfect world
simply allows
tractable algorithm
corresponding singular
word go
supplied seed
oracle system
derivational generative
torisawa et
modifiee candidates
ner performance
helps improve
subordinate constructions
directory trap
overlapping classes
contextual categories
model obtained
popular web
pragmatic plausibility
level deals
subject w
solution first
upper side
achieves error
formal test
point basis
addressee identification
type token
versus 5
parameters discussed
internal sentence
contains multiple
classified noun
content indicators
contribute anything
briefly summarizes
table could
case markers
first couple
train model
common definition
mapping types
log base
kernel using
mood sentences
graphical means
attribution relation
grand canyon
handle structures
orientation detection
new utterances
two particles
much attention
generic structure
identify nodes
states n
uniform rule
still improves
lexical sophistication
intrinsic interpretation
full vocabulary
center agents
mod feature
want x
one organization
constraining parse
current instantiation
recent mt
otherwise r
relations contained
matches would
section gives
syntactic production
excellent test
syntactic brackets
major portions
referent disambiguation
derived clusters
prime importance
human expertise
corpus populated
r iff
fragment presented
leaf corresponds
several classes
complete summary
scale cepstral
interlingual connections
usable systems
one phrase
attribute must
domain whose
bilingual units
separate phrases
world information
restriction must
structure selected
morphosyntactic properties
use probabilities
model cannot
earlier muc
phrase retrieval
processes new
finished transcriptions
dative pp
control board
condensation system
evaluated function
nlp projects
alignment constraint
scoring runs
area requires
viterbi rate
help construct
arbitrary feature
empire sont
previous publications
different keywords
entry represents
multimodal applications
types e
ill defined
unranked set
tokenization scheme
task parameters
special relationship
extended standard
encodes lexical
old phrases
g iff
29 db
digital libraries
deictic word
type definitions
recognizing speech
particular module
involves defining
distance measure
system executes
subset c
elr representation
syntactic item
db contains
query asking
produce clearer
combined dictionaries
negative expressions
integrate deep
slack variables
compound predicate
substitution mechanism
using base
types consist
bilingual web
time mentioned
problems remain
actual result
phrase modifiers
proposed corpus
martha put
spatial scales
38 sentences
candidate cannot
critical problems
correct entry
200 nodes
tobi labels
conceptual parameters
parent categories
9 arcs
significantly affects
equivalent finite
bank bracketing
successful implementation
force types
particle must
operator provides
tagset design
guiding principle
eindhoven corpus
1 highlights
e respectively
application allows
root ends
addressed problems
word extensions
complete training
domains defined
initial estimate
either phrase
something analogous
kempson et
significant amount
general sense
edit operations
aligned block
motivated manner
reliable differences
tractable model
hahn 1996
segmentation information
use cannot
actual ontology
ing data
legal reasoning
path list
order selection
1mt set
use short
composite function
morphological systems
complex requests
computational explanation
companion paper
greedy merger
flexible access
words took
match system
positive rates
optimal set
content representation
associated preparatory
time mapping
recognizing patterns
temporal predicates
man loves
structurer module
asr grammar
sufficient quantities
dependency analysis
natural change
multimodal interface
give analyses
symmetric conditional
models improves
whole unit
learning requires
huffman code
derivable information
chinese dictionary
slalom model
23 classes
canonical frame
phone recognizers
class recognition
novel training
palestinian suicide
retrieve texts
prototype implementation
referential metonymy
individual classes
document subsets
compare example
pronunciation changes
five experts
sentences among
n ps
peter szolovits
mislabeled instances
human listeners
specific verbs
additional layer
preferred candidates
model al
entire answer
help develop
modeling uses
appropriate situation
opinions expressed
candidate example
government phonology
headword location
small training
level tagging
military operations
trigram tagger
resulting stem
genitive forms
states one
certain readings
arpa workshop
superordinate term
common theme
see riezler
yarowsky 2000
final prepositional
conveying meaning
two phase
new terminology
hand transcribed
audio streams
practical experiments
symbol matches
tags also
ne extractor
lfg notation
given phenomenon
used google
limited domain
surface models
two trials
clauses c
automatic quantitative
subsequent definite
woods 1973
16 types
jth row
application field
average retrieval
wordnet synonym
lcc system
distance measures
tokens outside
certain techniques
similar vocabulary
tools currently
language plus
four words
local approach
connected discourse
garden variety
blunder l
generation approaches
open sets
allen 1995
dependent process
military message
rich grammar
celui des
accessible online
right breadth
suffix trie
remaining tags
uoun phrase
doctors recommend
standardised api
abdicates control
message database
reliable judgments
architecture cannot
friendly environment
md encoders
wordnet node
key file
performs standard
pairs using
additional languages
underlying n
step l
fixed field
output phoneme
assembly system
durant trois
type taxonomy
mappings include
questions asking
generated structures
extracting knowledge
certain examples
individual alignments
straightforward example
integrating language
typical method
using descriptions
formation information
syntagmatic constraints
spanish lexical
good separation
calculating word
concept must
driven evaluation
english parallel
perfect model
average cross
prototypical actions
rapid implementation
programs via
model generating
neca mnlg
nine parts
currently generates
strict criterion
terminology management
atlantic treaty
involve rule
tile method
since tense
mentioned property
percentage correct
typical questions
aphasic readers
including subcategorization
basenp model
state patterns
abraham lincoln
die weitere
dependent relations
broad term
right argument
nine folds
lexical coverage
japanese output
characteristic features
line 16
1 swlwswr
type subsumption
possible vowel
focus movement
un document
universitat stuttgart
editor allows
software package
generation relations
three query
equivalent ways
conflict resolution
graphical structure
total duration
pitch movement
left bracketing
beliefs underlying
april 2006
backward features
contain proper
including quantification
test system
translators often
latin word
graph transformations
situation use
decimal classification
part l
lexical hierarchy
achieving results
hash automaton
5 meetings
turn cause
efficient prolog
three resources
name indicates
peripheral concepts
morpheme length
performance enhancement
control within
unannotated training
complete overview
across patterns
varying conditions
see www
child categories
integration environment
relevant items
sense even
thresholds 0
common sentences
null mantic
indexical lf
structure type
sra triggers
simulated dialogs
either choose
type 7
data compiled
generation technique
one measure
denote probabilities
exhaust manifold
promotion parameter
informal study
phrase reference
tasks vary
perform experiments
larger pieces
dialogue predictor
type transducers
one thinks
subset f
following information
greater coherence
preposition pair
regular operation
preceding proposition
relational arc
focusing phase
algorithm hits
theorem proving
planner takes
answers rather
later sentences
enough space
excluding stopwords
claims using
initial pattern
unique aspect
substructural logic
bob saw
1 plan
lexical knowledgebase
lingual ontology
discourse oriented
frequent argument
hovy 88
false implicit
lower energy
pages 38
null ring
al theory
either lexicon
trees corresponds
substructure operation
sequence type
identifying senses
schema like
every input
obj respectively
user plays
a60 spice
white male
context examples
organization descriptors
entry must
worth emphasizing
different skill
n verbs
cascaded approach
first encounter
distance quotient
common choice
relevant vocabulary
dmax criteria
unknown strings
mt researchers
known organizations
biography classifier
aligned parse
principal difference
achieves much
appointment scheduling
database dictionary
see edmonds
coreferent class
interpretation available
strong predictor
existing caller
processing machine
words axe
free constructions
ockelt et
inheritance based
clearly illustrates
parsers often
tags model
complexity cut
coverage value
pragmatic use
context policy
identification systems
restricted subset
framenet project
otherwise correct
ranking error
resolution heuristic
role alternations
orthogonal networks
event flelds
performing speech
reduce ambiguities
orthographic variants
limited forms
construction list
separated parts
length 5
criteria used
group gr
anaphor within
additional categories
woz experiment
word spanned
second collection
semantic contextual
rewrite process
principles defined
cmu tipster
erel system
sls systems
noninteractive speech
low word
perform clustering
parse r
sample means
danlos 1984
internet sources
interpreting multimodal
second ig
two pictures
based counterparts
various representations
special context
asymmetric relations
three reasons
software also
ofyao si
formal deductions
type form
using fsgmatch
particular response
esps waves
lithography process
cover approximately
improve correction
needs special
utterance 6
stl performance
flush lexicon
argument would
representative forms
argumentative features
level two
satisfied preference
head entry
verb infinitive
unlabeled parse
feature instantiations
efficacy evaluation
crf training
verbal category
suffix 1
initial consonants
subtle aspects
dominant features
extract person
plausibility ratings
r semantic
goals underlying
first bullet
row 11
one case
specific period
gui component
ni l
free modifications
feature interaction
machine translated
fiat structure
electricit6 de
figure four
correct way
course evaluations
2 distances
following programme
rte challenge
logical argument
major drawback
depends upon
two lexicographers
processes texts
nelson et
contract drilling
grammar knows
first methods
technique rather
high count
one morpheme
primary document
key equivalence
male students
multiple readings
total failure
node added
instantiation status
unigram mappings
type mentioned
autosegmental diagram
sentence sample
atc domain
interlexical constraints
fused document
concept ci
ocean surveillance
universal meaning
chains containing
true names
elliptical expressions
g semantic
reference method
parser implementation
transcribing spoken
time passed
singular determiners
part numbers
overall behavior
unresolved problems
receives stress
qualia relation
committee tc
various choices
sentences individually
obligatory constraint
i1 ne
pp rules
entity test
semantic actions
protein information
related topics
agence france
positive answer
style parsers
existing appointment
affect score
become slightly
default rules
mathematical characterization
generation tools
triangleright skip
processing account
chunking shared
des lettres
whose inclusion
case identification
assignment task
l et
statistics presented
disagreed upon
le nir
efficient since
turn used
simpler versions
remaining candidate
inter levels
many links
correction rules
successive approximation
input streams
speech l
multimodal generator
implicit time
reference sort
finite clauses
bank contains
set pos
side consists
patterns found
signifie que
verbs semantically
procedural analysis
either case
similarity coefficients
predetermined threshold
systems performance
heuristic algorithms
ments de
verb say
corrected utterance
noun dependent
restructuring rule
dental stop
data run
psycholinguistic modeling
net model
direct evidence
factive verb
direct quotation
op paraphraser
ment de
put fp
proposition 7
previous authors
topic attribute
methodological principle
bonus points
discourse subordination
inuktitut word
similar item
100 ranking
conclusions follow
planner module
processes necessary
aspect long
always respond
common substructures
human utterance
n parts
meta information
data supporting
projects concerned
lr items
identification setup
4th column
feature restrictions
central sense
r need
dep propagation
columns provide
english pitch
matters worse
also covers
preverbal messages
operators called
proposition 25
table provided
semantic orientations
considerable processing
resulting transformation
individual answer
definiteness attribute
associated wilh
flat rules
head c
ergodic hmm
aligned node
intermediate position
data stored
source system
correctness score
global list
tree classifiers
best option
lowest alignment
nodes aligned
based expectations
introduce various
global ordering
controlled comparison
yields values
language study
manipulation de
information request
andrei mikheev
three tokens
first identifies
prior words
formatted source
woman may
eats food
assignment part
human thinking
index 0
character cell
architectural constraints
smaller structures
4 consider
factor values
model contributes
repair module
temporal primitives
team linguists
inevitably leads
binary patterns
learning feedback
new contributions
system retrieves
passive constraint
evaluating machine
choose correct
yield 100
complex knowledge
9 cases
alphabet unit
region occupied
training starts
keyword list
embedded pronouns
weak constraint
frame numbers
chinese abbreviations
n total
epsrc grant
key importance
surface statistics
trivial issues
first text
involves analyzing
two arcs
transformations required
simple syntactic
string r
particular interest
single start
seau notionnel
initial success
noun groups
verbal concept
next examples
selected types
cosine distance
enough knowledge
system next
abductive method
ambiguous region
observed segment
features introduced
est appel
grammar assumes
formulae expressing
hofstadter et
motivated techniques
error method
model exhibits
measure evaluates
simplify tile
grosz 86
sized grammar
static parsing
data sentences
multimodal dialogue
given argument
following recursion
table cannot
provides movie
message could
var klar
assumptions implicit
phonology may
incorrect response
cantonese speakers
employ machine
7 results
z denote
used suffix
broad distinction
place l
level exceeds
negative rules
direct induction
large library
straight links
statistical linguistics
deletion rate
ongoing dialogue
gets bound
feature number
domain specialists
component systems
hmm speech
occurrence within
variable width
second comparison
perform various
new stage
involved use
possibilities exist
oh et
english sequences
knowledge classification
butler hill
syntax within
mixed data
removing instances
customer service
train several
distribution a5
efficient nlp
last piece
15 occurrences
lambert et
generates less
standard normal
relation expressions
still results
event objects
continue working
preceding consonant
statistical dialogue
developing countries
paraphrase problem
days later
directory hierarchy
symbols l
special reason
independent validation
similar signatures
serial model
users gain
jian feng
memory systems
level three
weighted mean
good ability
ontology concepts
unknown sentences
sentences takes
de style
match domain
one incorrect
mit laboratory
pelletier 1982
ccg derivation
rules differ
global clustering
learning step
another interesting
subsequent recognition
remain underspecified
tag disambiguation
input article
1 algorithms
actual child
single publication
huge database
strategy since
two ships
system estimates
performs marginally
benchmark corpus
tanev et
basic point
000 iterations
handle ambiguities
dicto readings
utterance context
negative word
general improvement
cs node
precondition subdialogues
en frangais
management program
organization alias
knowledge affects
clips facts
mate workbench
pcfgs induced
cantly improves
requires expert
researchers using
recognized part
analysis outputs
information metric
nevertheless remains
lpcfg models
point extraction
amanda huggenkiss
arabic system
statistical systems
20 features
c n
based languages
fi x
hypernym synset
total average
value given
lattice operations
baseline quantitative
sentence analyzer
method resulted
system around
turn exchange
song surprised
volume 26
actual truth
schema object
polite form
turkish case
4 tests
time behaviour
creating templates
weighted tokens
r score
dominance literals
training sequences
user friendliness
linguistic events
entire derivation
needed basis
main thread
naive subjects
relations introduced
tune data
4 types
jme corpus
information copied
team member
202 sentences
constraints expressing
remaining structures
generated argument
scoping module
rightmost word
glossing algorithm
world wide
map provides
ong et
state descriptions
internal validation
uses relation
partial scopings
spoken archives
history frames
high predictive
collecting evidence
chart items
require g
yes please
monolithic approach
information acts
class size
relative success
end must
fundamental result
r denotes
